site,al,ca,dy,mn,na,k,u,eu,sm,la,ti,lu,nd,co,sc,fe,ce,yb,cs,ta,cr,th,ni,rb,tb,hf,zn,id
"Korakou",86000,126000,4.58,736,19130,37558,2.16,1.0564,5.08,33.2,4350,.4133,29.3,28.9,23.33,54100,60.7,2.7059,11.86,.797,264,10.89,224,56,.74,3.29,126,671
"Korakou",90300,100000,4.45,879,5970,30755,2.48,1.128,5.14,35.1,4310,.427,29.7,29.1,23.81,54700,68.8,2.6214,12.04,.791,220,11.43,226,222,.69,3.6,108,672
"Korakou",76900,87000,4.87,925,5950,31873,3.18,1.2444,5.24,32,4220,.3985,28.9,36.4,21.26,46500,62,2.7482,14.37,.841,281,10.04,336,173,.78,3.21,256,673
"Korakou",90600,93000,5.11,848,4910,20783,2.61,1.2444,5.38,35,4650,.5021,30.9,27.5,23.27,55400,67.6,2.7271,12.19,.816,234,11.85,215,179,.82,3.45,125,674
"Korakou",90200,92000,4.76,1014,6640,30196,2.57,.9937,5.24,35,4750,.4143,28.9,29.3,23.28,56800,66.5,2.8433,12.17,.773,220,10.85,196,190,.78,3.37,126,675
"Korakou",69800,88000,4.25,712,12600,16775,2.77,1.1638,4.54,25.2,4000,.371,22.3,22,18.03,45900,53.6,2.4417,6.61,.785,387,8.95,280,94,.79,5.39,103,676
"Korakou",57800,108000,4.23,541,9700,17335,1.81,1.0743,4.09,23.8,3440,.3446,21.4,18.7,15.65,39400,45.5,2.3254,5.48,.713,355,7.04,248,73,.7,4.42,90,677
"Korakou",80500,119000,4.62,847,14010,10811,2.32,1.2713,5.21,33.6,4610,.4217,27.6,27.2,21.95,50000,63.8,2.9596,10.61,.754,237,10.77,178,93,.77,2.75,109,678
"Korakou",87700,138000,4.32,867,15810,6617,2.99,1.2444,5.25,33.2,4390,.3752,28.3,32.8,22.77,56100,64.6,2.8856,24.98,.808,240,11.4,246,82,.77,3.52,109,679
"Korakou",77900,113000,4.15,774,14210,8481,2.23,1.0833,5.07,30.2,4580,.3784,26.8,31.2,20.48,50100,63,2.6108,9.38,.845,607,9.42,287,80,.79,3.88,116,680
"Korakou",78400,146000,4.51,948,6360,24977,2.82,1.2534,5.3,30.9,4400,.3795,27.5,30.5,20.16,49600,63.5,2.7376,13.05,.817,205,10.46,160,137,.83,4.03,98,681
